sector_id,sector,sector.iam,I_primsecenergy
1,1-fossil|coal,Primary Energy|Coal,1
2,1-fossil|oil,Secondary Energy|Liquids|Oil,1
3,1-fossil|gas,Primary Energy|Gas,1
4,2-utility|electricity|fossil|coal,Secondary Energy|Electricity|Coal,1
5,2-utility|electricity|fossil|oil,Secondary Energy|Electricity|Oil,1
6,2-utility|electricity|fossil|gas,Secondary Energy|Electricity|Gas,1
7,2-utility|electricity|renewable,Secondary Energy|Electricity|Renewable,1
8,2-utility|electricity|transmission,,
9,2-utility|waste,,
10,2-utility|water&sewerage,,
11,3-energy-intensive,Final Energy|Industry,0
12,3-energy-intensive|cement,Final Energy|Industry|Cement,0
13,3-energy-intensive|fertilisers and agrochemicals,Final Energy|Industry|Chemicals,0
14,3-energy-intensive|iron and steel,Final Energy|Industry|Steel,0
15,3-energy-intensive|non-fossil mining,Final Energy|Industry|Non-ferrous metals,0
16,3-energy-intensive|rubber and plastics,Final Energy|Industry,0
17,4-buildings,Final Energy|Residential and Commercial,0
18,5-transportation|air,Final Energy|Transportation|Aviation,0
19,5-transportation|land,Final Energy|Transportation|Rail+Road,0
20,5-transportation|water,Final Energy|Transportation|Maritime,0
21,6-agric. etc|agriculture|crops,,
22,6-agric. etc|agriculture|forestry,,
23,6-agric. etc|agriculture|livestock,,
24,6-agric. etc|fishing,,
25,7-finance,,
26,8-scientific R&D,,
27,9-other|food_processing,,
28,9-other|manufacturing_mining|misc,,
29,9-other|retail_trade,,
30,9-other|services|admin,,
31,9-other|services|computer,,
32,9-other|services|education,,
33,9-other|services|health,,
34,9-other|services|hotels,,
35,9-other|services|membership,,
36,9-other|services|misc,,
37,9-other|services|renting,,
38,9-other|services|sport,,
39,9-other|services|travel_transport,,
40,9-other|wholesale_trade,,
